organization,top 3 repo,languages,ros_repos,name_parts,total_repos,mean_repo_stars,stars_count,active_repos,mean_half_year_commits,last_commit_days_ago_mean,is_active,num_topics,tag_density,topics_total,parsed_languages,num_languages,description,description_length,has_description,days_since_last_commit,avg_commits_per_month,recent_commit_score,activity_score,description_density,topics_per_language,cluster,company_type
aevainc,"['Doppler-ICP', 'carla', 'Open3D', 'carla-aeva']","['JavaScript', 'Shell', 'Cuda', 'Batchfile', 'Python', 'Objective-C++', 'Makefile', 'C++', 'C', 'CMake', 'HTML', 'C#', 'GLSL', 'Dockerfile', 'CSS']",[],"['Open3', 'D', 'Doppler', 'ICP', 'carla', 'carla', 'aeva']",4.0,49.25,197.0,0.0,0.0,492.0,False,2.0,2.0,8.0,"{'C++', '%', 'Python'}",3.0,"Aeva, Inc Open-Source",21,1,293.0,0.0,0.0034013605442176,0.0,5.25,2.0,2,niche_tech
agco,"['harvesterjs', 'dokku-registry', 'hapi-harvester', 'elastic-harvesterjs', 'harvestergs-routing']","['JavaScript', 'Shell', 'Groovy', 'Gherkin', 'Makefile', 'CoffeeScript', 'HTML', 'Dockerfile', 'CSS']",[],"['harvesterjs', 'angular', 'oauth', 'dokku', 'registry', 'dokku', 'local', 'sandbox', 'harvest', 'mongodb', 'elastic', 'harvesterjs', 'swagger', 'ui', 'prez', 'agco', 'alm', 'agco', 'json', 'api', 'profiles', 'developer', 'agcocorp', 'website', 'agco', 'nodejs', 'recipes', 'buildstep', 'event', 'source', 'stream', 'agco', 'openam', 'login', 'docker', 'rabbitmq', 'mqtt', 'harvestergs', 'routing', 'sa', 'ddi', 'harvester', 'swagger', 'openam', 'oauth2', 'demo', 'iam', 'setup', 'module', 'passport', 'openam', 'sse', 'checkpointing', 'consumer', 'bunny', 'paws', 'hapi', 'harvester', 'dead', 'rabbit', 'harvester', 'utils', 'node', 'offworld', 'heapdumper', 'rabbit', 'stew', 'elasticsearch', 'reindexer', 'hapi', 'passport']",48.0,3.145833333333333,151.0,0.0,0.0,3261.7291666666665,False,0.0625,0.0625,3.0,"{'JavaScript', 'Shell', 'Scala', 'CoffeeScript', '%', 'C++', 'Groovy'}",7.0,,0,0,2020.0,0.0,0.0004948045522018,0.0,0.0,0.375,0,archived
aica-technology,"['control-libraries', 'docker-images', 'kuka-iiwa-description', 'modulo', 'franka_panda_description']","['Shell', 'JavaScript', 'Batchfile', 'Makefile', 'Python', 'CSS', 'C++', 'Cython', 'C', 'CMake', 'HTML', 'C#', 'Jinja', 'Kit', 'Dockerfile', 'Emacs Lisp']","['ethercat-driver-ros2', 'realsense-ros', 'xarm-ros2', 'OrbbecSDK_ROS2']","['docker', 'images', 'franka', 'panda', 'description', 'serial', 'network', 'interfaces', 'kuka', 'iiwa', 'description', 'universal', 'robots', 'description', 'movement', 'primitives', 'mecademic', 'description', 'component', 'sdk', 'stag', 'archive', 'api', 'control', 'libraries', 'modulo', 'franka', 'lightweight', 'interface', '.github', 'kuka', 'experimental', 'ethercat', 'driver', 'ros2', 'simulators', 'component', 'template', 'stag', 'realsense', 'ros', 'urdf', 'loaders', 'xarm', 'ros2', 'isaac', 'lab', 'OrbbecSDK', 'ROS2']",25.0,0.76,19.0,14.0,13.52,446.68,True,0.24,0.24,6.0,"{'Shell', 'JavaScript', 'CMake', 'C++', '%', 'C', 'Python'}",7.0,"Home of the AICA System, the platform for advanced robots",57,1,87.0,2.2533333333333334,0.0113636363636363,0.0256060606060606,7.125,0.75,1,stable_growth
aidrivers,['CLRNet-onnxruntime-and-tensorrt-demo'],['Python'],[],"['CLRNet', 'onnxruntime', 'and', 'tensorrt', 'demo']",1.0,0.0,0.0,0.0,0.0,901.0,False,0.0,0.0,0.0,{'Python'},1.0,Autonomous Mobility for Industrial Automation,45,1,901.0,0.0,0.0011086474501108,0.0,22.5,0.0,2,niche_tech
airbound,['PX4-Autopilot'],"['Shell', 'Groovy', 'MATLAB', 'Python', 'Makefile', 'C++', 'C', 'CMake', 'EmberScript', 'HTML', 'Perl', 'Jinja', 'GDB', 'Nix', 'Dockerfile']",[],"['PX4', 'Autopilot']",1.0,0.0,0.0,0.0,0.0,842.0,False,0.0,0.0,0.0,{'C++'},1.0,"Airbound is building a drone with the ability to take off without an expensive launchpad & runs at high speeds. Due to this, they save more than 10x the costs.",159,1,842.0,0.0,0.0011862396204033,0.0,79.5,0.0,2,niche_tech
airbus,"['scikit-decide', 'discrete-optimization', 'decomon', 'ED247_LIBRARY', 'a653lib']","['Shell', 'Python', 'Makefile', 'C++', 'Jupyter Notebook', 'C', 'CMake', 'Nix', 'Nushell', 'Java']",[],"['ED247', 'LIBRARY', 'scikit', 'decide', 'decomon', 'discrete', 'optimization', 'a653lib', 'Airobas', 'simulationexecutionlistener', 'mqtt', 'cameo', 'plugin']",7.0,37.285714285714285,261.0,6.0,26.285714285714285,183.8571428571429,True,1.2857142857142858,1.2857142857142858,9.0,"{'Jupyter Notebook', 'Java', 'C++', 'C', 'Python'}",5.0,"We design, manufacture and deliver industry-leading commercial aircraft, helicopters, military transports, satellites and launch vehicles",137,1,84.0,4.3809523809523805,0.0117647058823529,0.0515406162464985,22.83333333333333,1.5,1,stable_growth
airvolute,"['DroneCore.Suite_documentation', 'DroneCore.Suite', 'STM_Jetson_I2C_driver', 'dcs-deploy', 'ae-powerboard-control']","['JavaScript', 'PowerShell', 'Kotlin', 'Makefile', 'C++', 'Lua', 'CMake', 'HTML', 'Jinja', 'Emacs Lisp', 'NASL', 'CSS', 'Nasal', 'Shell', 'MATLAB', 'Gnuplot', 'OpenEdge ABL', 'Python', 'Objective-C', 'Roff', 'Assembly', 'PHP', 'Dockerfile', 'C', 'Batchfile']",[],"['DroneCore.Suite', 'documentation', 'Drone', 'Core.', 'Suite', 'ae', 'powerboard', 'control', 'STM', 'Jetson', 'I2C', 'driver', 'kernel', 'sources', 'xaviernx', 'dcs', 'deploy', 'linux', 'jetson', 'ardupilot', 'airvolute', 'doodle', 'setup', 'mavlink', 'serial', 'sys', 'id', 'set']",10.0,0.6,6.0,1.0,0.3,714.5,False,0.0,0.0,0.0,"{'%', 'Shell', 'C++', 'Python'}",4.0,,0,0,167.0,0.0499999999999999,0.0059523809523809,0.000297619047619,0.0,0.0,0,archived
AivotRobotics,"['moveit', 'grid-mapping-in-ROS', 'Universal_Robots_ROS_Driver', 'universal_robot', 'moveit2']","['JavaScript', 'Makefile', 'C++', 'CMake', 'HTML', 'NASL', 'CSS', 'Prolog', 'TeX', 'EmberScript', 'Batchfile', 'LiveScript', 'Shell', 'Nearley', 'Python', 'GDB', 'Dockerfile', 'TypeScript', 'C', 'C#', 'Emacs Lisp']","['grid-mapping-in-ROS', 'Universal_Robots_ROS_Driver', 'realsense-ros', 'Universal_Robots_ROS2_Driver', 'stella_vslam_ros', 'm-explore-ros2']","['moveit', 'grid', 'mapping', 'in', 'ROS', 'Universal', 'Robots', 'ROS', 'Driver', 'universal', 'robot', 'moveit2', 'realsense', 'ros', 'robotiq', 'Universal', 'Robots', 'ROS2', 'Driver', 'moveit', 'msgs', 'foxglove', 'studio', 'fanuc', 'rclcpp', 'Nebula', 'SDK', 'rosdistro', 'stella', 'vslam', 'ros', '3rdparty', 'm', 'explore', 'ros2']",17.0,0.0,0.0,3.0,0.9411764705882352,652.8823529411765,False,0.0,0.0,0.0,"{'CMake', 'Dockerfile', 'C++', 'TypeScript', 'Python'}",5.0,,0,0,95.0,0.1568627450980392,0.0104166666666666,0.0016339869281045,0.0,0.0,0,archived
aliasrobotics,"['RVD', 'aztarna', 'RSF', 'RCTF', 'RVSS']","['JavaScript', 'Makefile', 'Lex', 'C++', 'CMake', 'HTML', 'Ruby', 'Awk', 'CSS', 'Perl', 'Shell', 'M4', 'Python', 'Objective-C', 'Roff', 'GDB', 'Dockerfile', 'Go', 'C', 'Batchfile']","['hypothesis-ros', 'ros_volatility', 'ros2_fuzzer', 'ros2_documentation']","['rp', 'peda', 'hackbox', 'Infosec', 'Reference', 'RSF', 'RVSS', 'cvss', 'RVD', 'aztarna', 'rctf', 'scenario1', 'rctf', 'scenario2', 'rctf', 'scenario3', 'rctf', 'scenario4', 'RCTF', 'rctf', 'scenario6', 'hypothesis', 'ros', 'ros', 'volatility', 'rctf', 'scenario5', 'tensorboard', 'logger', 'tcpdump', 'design', 'ros1', 'fuzzer', 'ros2', 'fuzzer', 'udpreplay', 'MARA', 'threat', 'model', 'conpot', 'ros2', 'documentation', 'fwanalyzer', 'flawfinder', 'secure', 'development', 'and', 'deployment']",34.0,13.676470588235292,465.0,0.0,0.0,2129.294117647059,False,2.676470588235294,2.676470588235294,91.0,"{'JavaScript', 'Go', 'C++', '%', 'C', 'Python', 'Vim Script'}",7.0,Robot cybersecurity.,20,1,322.0,0.0,0.0030959752321981,0.0,2.5,11.375,2,niche_tech
AMP-Robotics,"['ros-system-monitor', 'framos_librealsense2', 'ngx-c3', 'ros3djs', 'abseil-cpp']","['JavaScript', 'Shell', 'Python', 'Makefile', 'C++', 'Starlark', 'TypeScript', 'C', 'CMake', 'HTML', 'EmberScript', 'HCL', 'Ruby', 'NASL', 'CSS', 'Go']","['ros-system-monitor', 'realsense-ros']","['ngx', 'c3', 'ros3djs', 'abseil', 'cpp', 'ros', 'system', 'monitor', 'realsense', 'ros', 'framos', 'librealsense2', 'terraform', 'google', 'bigquery', 'node', 'influx', 'query', 'string']",9.0,0.2222222222222222,2.0,0.0,0.0,1039.5555555555557,False,0.0,0.0,0.0,"{'JavaScript', 'HCL', 'C++', 'TypeScript', 'Python'}",5.0,,0,0,418.0,0.0,0.0023866348448687,0.0,0.0,0.0,0,archived
analogdevicesinc,"['hdl', 'no-OS', 'libiio', 'linux', 'iio-oscilloscope']","['PowerShell', 'JavaScript', 'Yacc', 'VHDL', 'Makefile', 'Thrift', 'C++', 'Scheme', 'CMake', 'HTML', 'Fortran', 'Rust', 'Awk', 'XS', 'CSS', 'Java', 'M', 'Cython', 'QMake', 'Perl', 'Verilog', 'CartoCSS', 'Coq', 'SmPL', 'XSLT', 'Batchfile', 'sed', 'Shell', 'MATLAB', 'M4', 'Python', 'Perl 6', 'Mathematica', 'Objective-C', 'Roff', 'GDB', 'Assembly', 'Groff', 'Dockerfile', 'NSIS', 'Gherkin', 'Stata', 'Scilab', 'Tcl', 'C', 'C#', 'ASL', 'Clojure', 'UnrealScript', 'QML', 'Lex', 'SystemVerilog', 'Inno Setup']",[],"['linux', 'iio', 'oscilloscope', 'sigmadsp', 'genfirmware', 'sigma', 'tcp', 'fpgahdl', 'xilinx', 'fmcomms1', 'eeprom', 'cal', 'no', 'OS', 'fru', 'tools', 'linux_image_ADI', 'scripts', 'fmcomms2', 'scripts', 'iio', 'fm', 'radio', 'libiio', 'hdl', 'MathWorks', 'tools', 'gnuradio', 'jesd', 'eye', 'scan', 'gtk', 'contiki', 'Pixelpulse2', 'libsmu', 'colorimeter', 'm1k', 'fw', 'm1k', 'cad', 'MOTIF', 'MathWorks', 'iio', 'osc', 'mingw', 'arduino', 'diagnostic', 'report', 'BOSSA', 'Pixelpulse2', 'Trayer', 'u', 'boot', 'xlnx', 'ad936x', 'filter', 'wizard']",280.0,28.103571428571428,7869.0,88.0,8.271428571428572,828.985401459854,True,1.167857142857143,1.167857142857143,327.0,"{'CSS', 'Jupyter Notebook', 'PHP', 'Assembly', 'SystemVerilog', 'Groff', 'Shell', 'LabVIEW', 'CMake', 'Roff', 'Verilog', 'MATLAB', '%', 'TypeScript', 'Tcl', 'JavaScript', 'HTML', 'C#', 'Rust', 'AGS Script', 'BitBake', 'Dart', 'Visual Basic .NET', 'Java', 'Makefile', 'C++', 'C', 'QML', 'Python'}",29.0,Analog Devices is a global high-performance analog technology company solving tough engineering challenges with innovative hardware and software solutions.,155,1,81.0,1.3785714285714288,0.0121951219512195,0.0168118466898954,5.166666666666667,10.9,3,high_potential
ANYbotics,"['grid_map', 'elevation_mapping', 'kindr', 'point_cloud_io', 'rqt_multiplot_plugin']","['Shell', 'JavaScript', 'MATLAB', 'Python', 'Makefile', 'C++', 'Roff', 'QMake', 'C', 'CMake', 'Prolog', 'Jupyter Notebook', 'Objective-C', 'HTML', 'QML', 'Dockerfile', 'CSS']","['kindr_ros', 'pointmatcher-ros', 'navigation_ros', 'gazebo_ros_pkgs']","['kindr', 'elevation', 'mapping', 'point', 'cloud', 'io', 'grid', 'map', 'kindr', 'ros', 'pointmatcher', 'ros', 'variant', 'rqt', 'multiplot', 'plugin', 'grid_map', 'release', 'variant', 'release', 'rqt_multiplot_plugin', 'release', 'media', 'package', 'siitool', 'linuxdeployqt', 'libuvc', 'libnabo', 'libpointmatcher', 'ar', 'track', 'alvar', 'gazebo2rviz', 'pysdf', 'navigation', 'ros', 'gazebo', 'ros', 'pkgs', 'gnome', 'shell', 'ping', 'monitor', 'applet', 'nmea', 'navsat', 'driver', 'anymal', 'b', 'simple', 'description', 'curves', 'message', 'logger', 'any', 'node', 'signal', 'logger', 'roco']",95.0,57.04210526315789,5419.0,45.0,6.642105263157895,857.7956989247311,True,0.1894736842105263,0.1894736842105263,18.0,"{'JavaScript', 'Shell', 'CMake', 'Fortran', 'Go', 'HTML', 'C++', '%', 'C', 'Rust', 'Python'}",11.0,Let Robots Go Anywhere,22,1,81.0,1.107017543859649,0.0121951219512195,0.0135002139495079,1.8333333333333333,1.5,3,high_potential
ApexAI,"['performance_test', 'static_exception', 'ROS2_clion_style', 'apex_rostest', 'Autoware']","['JavaScript', 'Makefile', 'Thrift', 'C++', 'CMake', 'HTML', 'CSS', 'Java', 'QMake', 'TeX', 'Perl', 'EmberScript', 'XSLT', 'Nix', 'GLSL', 'Shell', 'Cuda', 'M4', 'Python', 'Objective-C', 'Roff', 'Dockerfile', 'NSIS', 'C', 'Batchfile']",['ROS2_clion_style'],"['Fast', 'RTPS', 'Fast', 'CDR', 'mxnet', 'ssd', 'Autoware', 'rmw', 'fastrtps', 'performance', 'test', 'static', 'exception', 'rclcpp', 'rcl', 'rcutils', 'ROS2', 'clion', 'style', 'colcon', 'mixin', 'repository', 'ament', 'lint', 'build', 'colcon', 'rosidl', 'typesupport', 'marge', 'bot', 'asio', 'ament', 'cmake', 'apex', 'rostest', 'experiments', 'osrf', 'testing', 'tools', 'cpp', 'ament', 'index', 'colcon', 'test', 'result', 'class', 'loader', 'colcon', 'defaults', 'rcl', 'interfaces', 'velodyne', 'driver', 'laser', 'geometry', 'rviz', 'lttng', 'ust']",78.0,2.9615384615384617,231.0,10.0,2.8974358974358974,1429.820512820513,True,0.0256410256410256,0.0256410256410256,2.0,"{'Shell', 'JavaScript', 'CMake', 'Go', 'Starlark', 'HTML', 'C++', '%', 'RPC', 'TypeScript', 'C', 'Rust', 'Jsonnet', 'Python', 'Xtend'}",15.0,,0,0,86.0,0.4829059829059829,0.0114942528735632,0.0055506434816779,0.0,0.125,0,archived
